"['phenomen', 'woman', 'phenomen', 'woman', 'pretti', 'women', 'wonder', 'secret', 'cute', 'built', 'suit', 'fashion', 'model', 'size', 'start', 'tell', 'think', 'tell', 'say', 'reach', 'arm', 'span', 'hip', 'stride', 'step', 'curl', 'woman', 'phenomen', 'woman', 'walk', 'room', 'cool', 'pleas', 'man', 'fellow', 'stand', 'fall', 'swarm', 'around', 'hive', 'honey', 'say', 'fire', 'eye', 'flash', 'teeth', 'swing', 'waist', 'joy', 'woman']"
"['still', 'rise', 'still', 'rise', 'may', 'write', 'histori', 'bitter', 'twist', 'lie', 'may', 'tread', 'dirt', 'still', 'like', 'dust', 'sassi', 'upset', 'beset', 'gloom', 'walk', 'like', 'got', 'oil', 'well', 'pump', 'live', 'like', 'moon', 'like', 'sun', 'certainti', 'tide', 'like', 'hope', 'spring', 'high', 'still', 'want', 'see', 'broken', 'bow', 'head', 'lower', 'eye', 'shoulder', 'fall', 'like', 'weaken', 'soul']"
"['road', 'taken', 'road', 'taken', 'two', 'road', 'diverg', 'yellow', 'wood', 'sorri', 'could', 'travel', 'one', 'travel', 'long', 'stood', 'look', 'one', 'far', 'could', 'bent', 'undergrowth', 'took', 'fair', 'perhap', 'better', 'claim', 'grassi', 'want', 'wear', 'though', 'pass', 'worn', 'realli', 'morn', 'equal', 'lay', 'leav', 'step', 'trodden', 'oh', 'kept', 'first', 'anoth', 'day', 'yet', 'know', 'way', 'lead', 'way']"
"['forget', 'forget', 'want', 'know', 'one', 'thing', 'know', 'look', 'crystal', 'moon', 'red', 'branch', 'slow', 'autumn', 'window', 'touch', 'near', 'fire', 'impalp', 'ash', 'wrinkl', 'bodi', 'log', 'everyth', 'carri', 'everyth', 'exist', 'aroma', 'light', 'metal', 'littl', 'boat', 'sail', 'toward', 'isl', 'wait', 'well', 'littl', 'littl', 'stop', 'love', 'shall', 'stop', 'love', 'littl', 'littl', 'suddenli', 'forget', 'look', 'shall']"
"['dream', 'dream', 'hold', 'fast', 'dream', 'dream', 'die', 'life', 'bird', 'hold', 'fast', 'dream', 'dream', 'go', 'life', 'barren', 'field', 'frozen', 'snow', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']"
"['annabel', 'lee', 'annabel', 'lee', 'mani', 'mani', 'year', 'ago', 'kingdom', 'sea', 'maiden', 'live', 'may', 'know', 'name', 'annabel', 'lee', 'maiden', 'live', 'thought', 'love', 'love', 'child', 'child', 'kingdom', 'sea', 'love', 'love', 'annabel', 'lee', 'love', 'wing', 'seraph', 'heaven', 'covet', 'reason', 'long', 'ago', 'kingdom', 'sea', 'wind', 'blew', 'cloud', 'chill', 'beauti', 'annabel', 'lee', 'highborn', 'kinsman', 'came']"
"['cage', 'bird', 'cage', 'bird', 'free', 'bird', 'leap', 'back', 'wind', 'float', 'downstream', 'till', 'current', 'end', 'dip', 'wing', 'orang', 'sun', 'ray', 'dare', 'claim', 'bird', 'stalk', 'narrow', 'cage', 'seldom', 'see', 'bar', 'rage', 'wing', 'clip', 'feet', 'tie', 'open', 'throat', 'cage', 'bird', 'sing', 'fear', 'trill', 'thing', 'unknown', 'long', 'still', 'tune', 'heard', 'distant', 'hill', 'cage', 'bird']"
"['keep', 'head', 'lose', 'blame', 'trust', 'men', 'doubt', 'make', 'allow', 'doubt', 'wait', 'tire', 'wait', 'lie', 'deal', 'lie', 'hate', 'give', 'way', 'hate', 'yet', 'look', 'good', 'talk', 'wise', 'make', 'dream', 'master', 'make', 'thought', 'aim', 'meet', 'triumph', 'disast', 'treat', 'two', 'impostor', 'bear', 'hear', 'truth', 'spoken', 'twist', 'knave', 'make', 'trap', 'fool', 'watch', 'thing', 'gave', 'life']"
"['stop', 'wood', 'snowi', 'even', 'stop', 'wood', 'snowi', 'even', 'whose', 'wood', 'think', 'hous', 'villag', 'though', 'see', 'stop', 'watch', 'wood', 'fill', 'littl', 'hors', 'must', 'think', 'queer', 'stop', 'without', 'farmhous', 'near', 'wood', 'frozen', 'lake', 'darkest', 'even', 'give', 'har', 'bell', 'shake', 'ask', 'sound', 'sweep', 'easi', 'wind', 'downi', 'wood', 'love', 'dark', 'deep', 'promis', 'keep', 'mile']"
"['love', 'except', 'love', 'love', 'except', 'love', 'love', 'except', 'love', 'go', 'love', 'love', 'wait', 'wait', 'heart', 'move', 'cold', 'love', 'one', 'love', 'hate', 'deepli', 'hate', 'bend', 'measur', 'chang', 'love', 'see', 'love', 'mayb', 'januari', 'light', 'consum', 'heart', 'cruel', 'ray', 'steal', 'key', 'true', 'part', 'stori', 'one', 'die', 'one', 'die', 'love', 'love', 'love', 'love', 'fire']"
